name,value
"p[BRATTLEBORO_VT,5]",-129.696
"p[NASHUA_NH,5]",-73.81595
"p[LITTLETON_MA,5]",-134.3129474443475
"p[PORTLAND_ME,5]",-136.15982
"p[AUGUSTA_ME,5]",-138.64506466048994
"p[TURNERSFALLS_MA,5]",700.0000000000019
"p[NEWHAVEN2_CT,5]",558.6412892708496
"p[MYSTIC_CT,5]",-0.0
"p[FALLRIVER4_MA,5]",338.5547999999954
"p[FALLRIVER3_MA,5]",700.0000000000045
"p[MIDDLEBOROUGH2_MA,5]",621.0067398972142
"p[HYANNIS2_MA,5]",699.9999999999991
"p[BRATTLEBORO2_VT,5]",-0.0
"p[AUGUSTA2_ME,5]",700.0
"p[KINGSTON_NY,5]",-690.51888
"p[ALBANY_NY,6]",-0.0
"p[GREENFIELD_MA,6]",-0.0
"p[HOLYOKE_MA,6]",-178.61662
"p[HARTFORD_CT,6]",-260.74
"p[PROSPECT_CT,6]",-646.9510636871247
"p[NEWHAVEN_CT,6]",-0.0
"p[ANSONIA_CT,6]",-121.92202400000002
"p[SOUTHBURY_CT,6]",-272.21256000000005
"p[DANBURY_CT,6]",-0.0
"p[GROTON_CT,6]",-0.0
"p[NEWLONDON_CT,6]",-0.0
"p[NEWLONDON2_CT,6]",-3.9111000000000002
"p[GROTON2_CT,6]",-0.0
"p[MARLBOROUGH_CT,6]",-0.0
"p[PROVIDENCE_RI,6]",-171.1712
"p[BOSTON_MA,6]",-475.9252191277952
"p[WORCESTER_MA,6]",-0.0
"p[BRIMFIELD_MA,6]",-87.64418
"p[FALLRIVER_MA,6]",-0.0
"p[FALLRIVER2_MA,6]",-348.35788
"p[BROCKTON_MA,6]",-112.34334912158565
"p[MIDDLEBOROUGH_MA,6]",-0.0
"p[HYANNIS_MA,6]",-152.267895
"p[QUINCY_MA,6]",-171.18350600000002
"p[BRATTLEBORO_VT,6]",-135.73728
"p[NASHUA_NH,6]",-76.75719
"p[LITTLETON_MA,6]",-82.47165250186869
"p[PORTLAND_ME,6]",-144.07846
"p[AUGUSTA_ME,6]",-168.23595517423018
"p[TURNERSFALLS_MA,6]",699.9999999999997
"p[NEWHAVEN2_CT,6]",558.4602332708497
"p[MYSTIC_CT,6]",-0.0
"p[FALLRIVER4_MA,6]",627.1019600000017
"p[FALLRIVER3_MA,6]",421.25591999999807
"p[MIDDLEBOROUGH2_MA,6]",627.5466213417541
"p[HYANNIS2_MA,6]",699.9999999999998
"p[BRATTLEBORO2_VT,6]",-0.0
"p[AUGUSTA2_ME,6]",700.0000000000009
"p[KINGSTON_NY,6]",-723.8376
"p[ALBANY_NY,7]",-0.0
"p[GREENFIELD_MA,7]",-0.0
"p[HOLYOKE_MA,7]",-196.79352
"p[HARTFORD_CT,7]",-285.385
"p[PROSPECT_CT,7]",-474.8862404202537
"p[NEWHAVEN_CT,7]",-0.0
"p[ANSONIA_CT,7]",-133.44602600000002
"p[SOUTHBURY_CT,7]",-297.94194
"p[DANBURY_CT,7]",-0.0
"p[GROTON_CT,7]",-0.0
"p[NEWLONDON_CT,7]",-0.0
"p[NEWLONDON2_CT,7]",-4.280775
"p[GROTON2_CT,7]",-0.0
"p[MARLBOROUGH_CT,7]",-0.0
"p[PROVIDENCE_RI,7]",-186.4672
"p[BOSTON_MA,7]",-425.6008614410818
"p[WORCESTER_MA,7]",-0.0
"p[BRIMFIELD_MA,7]",-96.56328
"p[FALLRIVER_MA,7]",-0.0
"p[FALLRIVER2_MA,7]",-383.80848000000003
"p[BROCKTON_MA,7]",-103.71211363043756
"p[MIDDLEBOROUGH_MA,7]",-0.0
"p[HYANNIS_MA,7]",-167.76342
"p[QUINCY_MA,7]",-188.60397600000002
"p[BRATTLEBORO_VT,7]",-151.05888000000002
"p[NASHUA_NH,7]",-86.70264
"p[LITTLETON_MA,7]",-58.18265908408745
"p[PORTLAND_ME,7]",-157.27688
"p[AUGUSTA_ME,7]",-194.28043889081226
"p[TURNERSFALLS_MA,7]",699.9999999999997
"p[NEWHAVEN2_CT,7]",558.0067652708497
"p[MYSTIC_CT,7]",-0.0
"p[FALLRIVER4_MA,7]",383.80847999999577
"p[FALLRIVER3_MA,7]",700.0000000000045
