cname,dual
c_bus_injection[2],787.6385581797933
c_bus_injection[2],787.6385581797931
c_bus_injection[2],787.6385581797919
c_bus_injection[2],787.6385581797929
c_bus_injection[2],787.638558179793
c_bus_injection[2],787.6385581797932
c_bus_injection[2],787.6385581797939
c_bus_injection[2],787.6385581797927
c_bus_injection[2],787.6385581797925
c_bus_injection[2],787.6385581797931
c_bus_injection[2],787.6385581797929
c_bus_injection[2],787.6385581797929
c_bus_injection[2],787.6385581797937
c_bus_injection[2],787.6385581797925
c_bus_injection[2],787.6385581797929
c_bus_injection[2],787.6385581797931
c_bus_injection[2],155.5812499999994
c_bus_injection[2],155.58125000000007
c_bus_injection[2],956.6043732377567
c_bus_injection[2],155.5812500000007
c_bus_injection[2],275.7347184856642
c_bus_injection[2],713.7942390063121
c_bus_injection[2],787.6385581797942
c_bus_injection[2],787.6385581797942
c_bus_injection[2],787.6385581797939
c_bus_injection[2],787.638558179795
c_bus_injection[2],787.6385581797952
c_bus_injection[2],397.51637468132833
c_bus_injection[2],787.6385581797929
c_bus_injection[2],787.6385581797927
c_bus_injection[2],155.58124999999893
c_bus_injection[2],155.58125
c_bus_injection[2],155.58125
c_bus_injection[2],155.58125
c_bus_injection[2],787.6385581797941
c_bus_injection[2],155.58125
c_bus_injection[2],787.6385581797939
c_bus_injection[3],787.638558179794
c_bus_injection[3],787.6385581797936
c_bus_injection[3],787.6385581797929
c_bus_injection[3],787.6385581797938
c_bus_injection[3],787.6385581797919
c_bus_injection[3],787.6385581797936
c_bus_injection[3],787.6385581797938
c_bus_injection[3],787.6385581797939
c_bus_injection[3],787.6385581797944
c_bus_injection[3],787.6385581797939
c_bus_injection[3],787.6385581797936
c_bus_injection[3],787.6385581797944
c_bus_injection[3],787.638558179794
c_bus_injection[3],787.6385581797944
c_bus_injection[3],787.6385581797969
c_bus_injection[3],787.6385581797907
c_bus_injection[3],787.6385581797912
c_bus_injection[3],787.638558179792
c_bus_injection[3],155.58124999999905
c_bus_injection[3],155.58124999999984
c_bus_injection[3],956.6043732377526
c_bus_injection[3],155.58124999999973
c_bus_injection[3],275.7347184856631
c_bus_injection[3],713.7942390063099
c_bus_injection[3],787.6385581797938
c_bus_injection[3],787.6385581797932
c_bus_injection[3],787.6385581797927
c_bus_injection[3],787.6385581797939
c_bus_injection[3],787.638558179794
c_bus_injection[3],155.58125
c_bus_injection[3],787.6385581797936
c_bus_injection[3],787.6385581797937
c_bus_injection[3],155.5812499999986
c_bus_injection[3],155.58125
c_bus_injection[3],155.58125
c_bus_injection[3],155.58125
c_bus_injection[3],787.6385581797934
c_bus_injection[3],155.58125
c_bus_injection[3],787.6385581797942
c_bus_injection[4],787.6385581797911
c_bus_injection[4],787.6385581797911
c_bus_injection[4],787.6385581797904
c_bus_injection[4],787.6385581797898
c_bus_injection[4],787.6385581797919
c_bus_injection[4],787.6385581797896
c_bus_injection[4],787.6385581797898
c_bus_injection[4],787.63855817979
c_bus_injection[4],787.6385581797908
c_bus_injection[4],787.6385581797895
c_bus_injection[4],787.6385581797892
c_bus_injection[4],787.6385581797898
c_bus_injection[4],787.6385581797895
c_bus_injection[4],787.6385581797896
c_bus_injection[4],787.6385581797899
c_bus_injection[4],787.6385581797904
c_bus_injection[4],787.6385581797902
c_bus_injection[4],787.6385581797904
c_bus_injection[4],155.58124999999956
c_bus_injection[4],155.58125000000024
c_bus_injection[4],956.6043732377526
c_bus_injection[4],155.58125000000086
c_bus_injection[4],275.7347184856638
c_bus_injection[4],713.7942390063098
c_bus_injection[4],787.6385581797914
c_bus_injection[4],787.6385581797915
c_bus_injection[4],787.6385581797912
c_bus_injection[4],787.6385581797922
c_bus_injection[4],787.6385581797923
c_bus_injection[4],397.51637468132833
c_bus_injection[4],787.6385581797897
c_bus_injection[4],787.6385581797894
c_bus_injection[4],155.5812499999991
c_bus_injection[4],155.58125
c_bus_injection[4],155.58125
c_bus_injection[4],155.58125
c_bus_injection[4],787.6385581797912
c_bus_injection[4],155.58125
c_bus_injection[4],787.6385581797908
c_bus_injection[5],787.6385581797914
c_bus_injection[5],787.6385581797917
c_bus_injection[5],787.6385581797908
c_bus_injection[5],787.6385581797899
c_bus_injection[5],787.6385581797919
c_bus_injection[5],787.6385581797897
c_bus_injection[5],787.6385581797899
c_bus_injection[5],787.6385581797902
c_bus_injection[5],787.6385581797911
c_bus_injection[5],787.6385581797895
c_bus_injection[5],787.6385581797894
c_bus_injection[5],787.6385581797898
c_bus_injection[5],787.6385581797895
c_bus_injection[5],787.6385581797895
c_bus_injection[5],787.6385581797895
c_bus_injection[5],787.6385581797915
c_bus_injection[5],787.6385581797911
c_bus_injection[5],787.6385581797912
c_bus_injection[5],155.5812499999999
c_bus_injection[5],155.58125000000058
c_bus_injection[5],956.6043732377526
c_bus_injection[5],155.58125000000092
c_bus_injection[5],275.7347184856641
c_bus_injection[5],713.7942390063108
c_bus_injection[5],787.638558179792
c_bus_injection[5],787.6385581797922
c_bus_injection[5],787.638558179792
c_bus_injection[5],787.638558179793
c_bus_injection[5],787.6385581797931
c_bus_injection[5],397.51637468132833
c_bus_injection[5],787.6385581797897
c_bus_injection[5],787.6385581797894
c_bus_injection[5],155.58125
c_bus_injection[5],155.58125000000075
c_bus_injection[5],155.58125
c_bus_injection[5],155.58125
c_bus_injection[5],787.6385581797917
c_bus_injection[5],155.58125
c_bus_injection[5],787.6385581797912
c_bus_injection[6],787.6385581797904
c_bus_injection[6],787.6385581797904
c_bus_injection[6],787.6385581797897
c_bus_injection[6],787.6385581797897
c_bus_injection[6],787.6385581797919
c_bus_injection[6],787.6385581797895
c_bus_injection[6],787.6385581797897
c_bus_injection[6],787.6385581797898
c_bus_injection[6],787.6385581797904
